Altium Designer Pick and Place Locations
C:\Users\idiaz\Documents\allin\Lens-PCB\Lens-Maker\Project Outputs for Lens-Maker\Pick Place\Pick Place for Lens-Maker.csv

========================================================================================================================
File Design Information:

Date:       12/12/22
Time:       23:24
Revision:   aacff7ae2c403efb0819a5056f2a01a383356b34
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"P9_2","HEADER 6POS","TopLayer","HEADER_3X2","1598.000","1387.827","90","Straight 2 6 2.54mm Black Straight,P=2.54mm  Pin Headers ROHS"
"P9_1","HEADER 6POS","TopLayer","HEADER_3X2","2183.220","1387.827","90","Straight 2 6 2.54mm Black Straight,P=2.54mm  Pin Headers ROHS"
"P8","HEADER 6POS","TopLayer","HEADER_3X2","3482.819","575.000","0","Straight 2 6 2.54mm Black Straight,P=2.54mm  Pin Headers ROHS"
"P7","HEADER 6POS","TopLayer","HEADER_3X2","1001.000","1387.827","270","Straight 2 6 2.54mm Black Straight,P=2.54mm  Pin Headers ROHS"
"P6","PZ254V-11-04P","TopLayer","PZ254V-11-04P","2767.000","1338.000","270","Straight Square Pins 2.5mm 6mm -40?~+105? 1 3mm 4 2.54mm Black Brass 1x4P Straight,P=2.54mm  Pin Headers ROHS"
"P10","TYPE-C-31-M-12","TopLayer","TYPE-C-31-M-12","209.000","652.000","270","USB C SMD Connector"
"U4","AMS1117-3.3V","TopLayer","SOT230P700X180-4N","349.685","1043.000","0","75dB@(10kHz) 800mA 1.5V@(700mA) Fixed 3.3V~3.3V Positive 1 12V SOT-223  Linear Voltage Regulators (LDO) ROHS"
"R17","RES","TopLayer","0805","95.008","1284.000","180","SMD Resistor"
"D2","LED","TopLayer","0805","95.008","1215.000","180","0805 Light Emitting Diodes (LED) ROHS"
"C23","CAP","TopLayer","0805","95.008","1069.000","180","SMD Capacitor"
"C22","CAP","TopLayer","0805","95.008","1142.000","180","SMD Capacitor"
"C21","CAP","TopLayer","0805","95.008","927.268","180","SMD Capacitor"
"C20","CAP","TopLayer","0805","95.008","998.606","180","SMD Capacitor"
"S1","PUSHBUTTON","TopLayer","PUSHBUTTON","3687.079","2058.772","0","NO 6mm Gull Wing 4.3mm Black Round Button Brick nogging SPST 6mm 180gf@±30gf SMD  Tactile Switches ROHS"
"P3","MOTOR Y","TopLayer","WJ124-3.81-4P","1111.134","3784.469","180",""
"U3","CP2102","TopLayer","CP2102N","3704.504","327.933","0","QFN-28 USB ICs ROHS"
"U2","ESP32-WROOM-32E","TopLayer","ESP32-WROOM-32E","3533.213","1112.827","270","RX TXRX MOD WIFI TRACE ANT SMD"
"R13","RES","TopLayer","0805","3682.819","583.661","270","SMD Resistor"
"R12","RES","TopLayer","0805","3021.480","329.941","0","SMD Resistor"
"R11","RES","TopLayer","0805","3021.480","255.137","180","SMD Resistor"
"R10","RES","TopLayer","0805","3641.480","1596.000","0","SMD Resistor"
"R9","RES","TopLayer","0805","3824.874","2234.772","0","SMD Resistor"
"Q2","S8050","TopLayer","SOT-23-3","3191.087","292.539","90",""
"Q1","S8050","TopLayer","SOT-23-3","2857.087","292.539","270",""
"C19","CAP","TopLayer","0805","3641.480","1671.819","0","SMD Capacitor"
"C18","CAP","TopLayer","0805","3795.055","135.508","270","SMD Capacitor"
"C17","CAP","TopLayer","0805","3645.449","135.508","270","SMD Capacitor"
"C16","CAP","TopLayer","0805","3721.433","135.508","90","SMD Capacitor"
"C15","CAP","TopLayer","0805","3525.764","227.539","90","SMD Capacitor"
"C14","CAP","TopLayer","1206","3820.008","1596.000","0","SMD Capacitor"
"C13","CAP","TopLayer","1206","3820.008","1688.000","0","SMD Capacitor"
"C12","CAP","TopLayer","1206","3820.008","1780.000","0","SMD Capacitor"
"C11","CAP","TopLayer","1206","3820.008","1870.000","0","SMD Capacitor"
"R8","RES","TopLayer","0805","657.221","2840.933","270","SMD Resistor"
"P4","MOTOR W","TopLayer","WJ124-3.81-4P","2003.000","3784.000","180",""
"P2","MOTOR Z","TopLayer","WJ124-3.81-4P","2933.087","3782.000","180",""
"P1","DC-005 2.0","TopLayer","DC-005_2.0","447.110","3131.480","0","Shrouded DC Power Receptacle 2mm 6.4mm Plugin AC/DC Power Connectors ROHS"
